project_name,project_sector
EA Departmental Insurance,Others
Correspondence with Economic and Financial Crimes Commission (EFCC),Others
"Police Barrack, Falomo, Ikoyi",Infrastructure
Gold Mining Project (26118EL) of Kafur District Area at Malumfashi LGA,Mining
Liquefied Petroleum Gas Stockpoint in Olowotedo Village of Obafemi Owode LGA,Oil & Gas
"Exploration of Lead Zinc (26552EL), Kukuwa Village, Wase LGA",Mining
"ESMP for Mini-Grid in Magama, Mashegu and Mokwa LGAs",Renewable Energy
"Exploration of Tantalite, Columbite, Tin and Zircon (25936 EL) in Akwanga/Nasarawa LGAs",Mining
Collaboration with Federal Ministry of Works and Housing,Infrastructure
"Sports Arena within the premises of Federal Ministry of Industry, Trade and Investment",Infrastructure
"Exploration of Lead-Zinc (26369EL) at Kukawa Village, Wase LGA",Mining
"Exploration of Lead-Zinc (26372EL) at Kukawa Village, Wase LGA",Mining
"Exploration of Lead-Zinc (26556EL) at Kukawa Village, Wase LGA",Mining
"Exploration of Lead-Zinc (26556EL) at Kukawa Village, Wase LGA",Mining
"Oloibiri Museum and Research Centre (OMRC) at Oloibiri, Ogbia LGA",Infrastructure
Standards Organisation of Nigeria (SON) Correspondence,Others
"Mixed Development of 775 Hectares along Odo-Ogun Water Front, Kosofe LGA",Infrastructure
Nigeria Covid-19 Action Recovery and Economic Stimulus (N-CARES) Programme,N/A
"Barge Jetty and Berthing Facility at Tin Can Island, Apapa LGA",Infrastructure
ATC Nigeria Phase 13 BTS (688 BTS in 32 States and the FCT) ,Telecommunications
"Delta Global Agritourism Village, Ugboko Abah-Unor Community, Aniocha South LGA",Agriculture
Construction of Mayo-Belwa-Jada-Ganye Road - 112KM,Infrastructure
Rehabilitation of Billiri-Filiya-Taraba Border Road -44KM,Infrastructure
Construction of 120.55km road Makurdi-Naka-Adoki Phase 1,Infrastructure
"Lutheran University Nigeria (LUN), Demsa LGA",Infrastructure
"SCRAP TYRES RECYCLING PLANT AND RUBBER TILES AND MATS MANUFACTURING,  AT KM 10, IBADAN-ABEOKUTA ROAD, APATA, OYO STATE.",Manufacturing
CONSTRUCTION OF 54KM BASHAR-ZURUK-ANDAME ROAD IN KARIM LAMIDO LGA IN PLATEAU & TARABA STATE ,Infrastructure
Construction of Jetty for Kohasa Fabrication Yard at Obioakpor LGA,Infrastructure
RECONSTRUCTION OF LAMBATA - LAPAI- BIDA ROAD IN NIGER STATE,Infrastructure
EIA FOR THE PROPOSED LIQUEFIED NATURAL GAS STORAGE AND REGASIFICATION FACILITY AT NIGERIA PORT AUTHORITY COMPLEX,Oil & Gas
ENVIRONMENTAL AND SOCIAL IMPACT ASSESSMENT FOR THE PROPOSED LASG UNIFIED DUCT INFRASTRUCTURE PROJECT IN 20 LOCAL GOVERNMENT OF LAGOS STATE,Infrastructure
ESMP OF THE PROPOSED SOLAR HYBRID MINI_GRID SITE IN 17 SITES OF LAFIA AND DOMA LOCAL GOVERNMENT AREA OF NASARAWA STATE,Power
"Construction of 240KM 132 KV DC Damaturu-Gashua-Nguru Power Transmission Line and Associated Substations at Damaturu, Tarimuwa, Busari, Bade, Karasuwa & Nguru LGAs",Power
Environmental Impact Assessment Permit for the proposed dualization of Jebba-Mokwa-Bokani Junction.,Infrastructure
"Exploration of Gold, Rafi local government area 25966EL",Mining
"Exploration of Gold, Rafi local government area 26035EL",Mining
"Waste Tyre recycling Plant to produce pyrolysis oil and carbon black, Fika-Ashaka bypass, Potiskum LGA.",Manufacturing
Tourmaline and Beryl Semstone Exploration and Mining (30643 SSML) at Kokona LGA,Mining
Container Terminal Depot,Infrastructure
Aviation Turbine Kerosene (ATK) Depot,Oil & Gas
Correspondence with Nigerian Communications Commission (NCC),Telecommunications
Tourmaline Small Scale Mining 21652 SSML,Mining
"Pneumatic Tyre and Tubes Manufacturing Plant at Lekki Free Zone, Ibeju-Lekki LGA",Manufacturing
Coal Mining EL 32191 at Igalamela and Odolu LGA,Mining
Iron Ore Mining EL32189 at Ajaokuta LGA,Mining
Rice Milling and Processing in Bauchi Metropolis,Manufacturing
Ibeto Cement Company Limited Limestone Mining EL 25807EL at Ishielu LGA,Mining
Ibeto Cement Company Limited Limestone Mining EL25767EL at Akamkpa LGA,Mining
Ibeto Cement Company Limited Limestone Mining EL 25766,Mining
"Development of Sifax Container Terminal at Ijora Causeway Jetty, Apapa LGA",Infrastructure
"UAC Foods Limited Greenfield Site Project, Obafemi - Owode LGA",Manufacturing
"IHS Phase II Base Transceiver Station (BTS) in Anambra, Kebbi and Sokoto States",Telecommunications
Lead and Zinc Mining (900SSML) at Wase LGA,Mining
Lead and Zinc Mining (901SSML) at Wase LGA,Mining
Iron Ore Mining (32187EL) at Ajaokuta LGA,Mining
Small-Scale Mining in Sama Borkonuna Community,Mining
Rehabilitation of Ministry of Mines and Steel Development Agencies-NIMG NMDC NGSA NSRMEA,Infrastructure
"Rehabilitation and Reconstruction of the Port Harcourt - Maiduguri Narrow Gauge Railway and Its Accessories-2,000KM",Infrastructure
ESMP for Three(3) Solar Hybrid Mini-Grid Sites at Umunneochi LGA,Renewable Energy
Construction of Kano-Dambata-Kazaure-Daura-Mashi-Katsina-Jibiya-Maradi(Niger Republic) Rail Line with Branch Line Kano to Dutse - 378km,Infrastructure
ATC Nigeria Phase 14 BTS Project (517 BTS in 21 States),Telecommunications
"Limestone, Clay and Shale Exploration (26839EL), Akko LGA ",Mining
"Limestone, Clay, Shale and Manganese Exploration, Akko Billiri LGA (26938EL)",Mining
"Limestone, Clay and Shale Exploration, Yamaltu Deba LGA (26710EL)",Mining
"Limestone, Clay and Shale Exploration, Yamaltu/Deba LGA",Mining
Triax Airlines Farm Limited Diary Farm at Adada,Agriculture
Sand Dredging and Mining at Oshimili North LGA,Mining
"Afro-Asia Plastic Recycling Plant at Umudim, Nnewi",Manufacturing
Exploration and Mining of Gold in Atakumosa East LGA,Mining
"Industrial Park at Ubima, Ikwere LGA",Infrastructure
"Bonny Deep Sea Port, Bonny, Bonny LGA",Infrastructure
"Lagos Rail Mass Transit (LRMT) Redline and Associated Infrastructures at Lagos Mainland (Mushin, Oshodi-Isolo, Ikeja, Agege and Ifako-Ijaiye LGAs",Infrastructure
"Liquefied Petroleum Gas (LPG) Stock Point Project, Kwali",Oil & Gas
"Tourmaline, Amethyst and Beryl Exploration (26708EL) in Kokona LGA",Mining
0.4mw Solar Power at Kantin Kwari Market,Renewable Energy
Asphalt Batching Plant at Ukwa-West LGA ,Infrastructure
"Agricultural Products Processing Plant (Curry & Spices Production) in Challawa Industrial Estate, Kumbotso LGA,",Manufacturing
Four (4) Off Grid Solar Hybrid Mini-Grid Sites at Anambra West and Ogbaru LGA,Renewable Energy
"Sugarcane Production and Processing Plant at Mayo-Inne, Fufure LGA",Manufacturing
Eleven (11) Off Grid Solar Hybrid Mini-Grid Sites at Sagbama and Silga LGA  ,Renewable Energy
"Three (3) Off Grid Solar Hybrid Mini-Grid Sites at Ngor-Okpala, Okigwe and Ohaji Egbema LGA",Renewable Energy
"Pharmaceutical Factory for Production of Liquids, Tablets, Ointments, Capsules and Dry Powder in Sagamu LGA",Manufacturing
Refinery Phase 2 in Ibigwe Field OML 16,Oil & Gas
"Gold Exploration and Mining in Ekuri, Akamkpa",Mining
"Mining of Limestone, Gypsum, Clay, Shale, Coal (EL 25301)",Mining
"Limestone, Gypsum, Clay, Shale and Coal in Guyuk LGA (EL 25303)",Mining
"Exploration and Mining Activities of Lead, Zinc in Izza LGA",Mining
Ashtavinayak Hydrocarbons Limited Proposed 14'' 16km pipeline from Ameshi to Anieze West Bank,Oil & Gas
10 Tonnes FFB/Hour Palm Oil Mill in Akwukwu-Igbo,Manufacturing
"Gold, Metal, Tin, Tantalite and Columbite Mining in Yagba East LGA (EL 31763)",Mining
"Gold, Metal, Tin, Tantalite and Columbite Mining in Yagba East (EL 031762)",Mining
"Agricultural Products Processing Plant at Challawa Industrial Estate, Kumbotso LGA",Manufacturing
"112 Tons/Day Hoses and Pipe, Pedestal and Sanitary Wares Product in Ikenne LGA",Manufacturing
"Qingyang Industrial Park in Ogere Village, Ikenne LGA",Infrastructure
"10.3 Tons/Day Baby & Adult Sanitary Products in Ogere Remo, Ikenne LGA",Manufacturing
"60MW/day Power Plant in Ogere Remo, Ikenne LGA",Power
"3,100 Tons/Day Ceramic Tiles (Floor & Wall), Ogere-Remo, Ikenne LGA",Manufacturing
"Ikorodu Mill at Ikorodu Industrial Estate, Odogunyan, Ikorodu North",Manufacturing
"Six (6) Off Grid Solar Hybrid Mini-Grid Project in Ekiti South West, Gbonyin, Ijero, Ekiti West, Ikole and Ise Emure LGA",Renewable Energy
"Ports and Terminal Multiservices Limited (PTML) Car Park and Office Development in Mile 2, Amuwo Odofin LGA.",Infrastructure
"Gravel, Laterite and Sand Mining (SSML 19608 and 19609) in Nsukka LGA",Mining
"ESMP for Solar Mini-Grids at Ofu, Dekina, Ankpa, Ebaji, Bassa LGAs",Renewable Energy
"ESMP for Solar Mini-Grids at Balanga, Akko, Kwami, Funakaye, Shongom, Nafada LGAs",Renewable Energy
"ESMP for Solar Mini-Grids at Wuse Market and Garki Market, AMAC",Renewable Energy
ESMP for Solar Mini-Grids at Anambra West LGA,Renewable Energy
"ESMP for Solar Mini-Grids at Kurmi, Wukari, Bali, Ibi and Sardauna LGAs",Renewable Energy
"Seamless Steel Pipe Mill (120,000MT Per Annum) Plant at Okegun-Odofin Community, Ibeju-Lekki Expressway",Manufacturing
ESMP for Solar Mini-Grids (10 sites),Renewable Energy
Assembly Plant Warehouse - Isheri Oke,Infrastructure
Oredo Field in OML 111 (Extension),Oil & Gas
EIA FOR THE PROPOSED LIQUEFIED NATURAL GAS STORAGE AND REGASIFICATION FACILITY AT NIGERIA PORT AUTHORITY COMPLEX,Oil & Gas
Gold Exploration in Baruten LGA (26039 EL),Mining
Gold Exploration in Baruten LGA (EL 26040),Mining
"Muhammadu Buhari Industrial Park at Gombe - Biu road, Garin Abdullahi, Dadin Kowa, Yamaltu LGA",Infrastructure
ESMP for Solar Mini-Grids (6 sites) in Rivers State,Renewable Energy
"Feed Mill Building and Silo, Ogere - Remo",Infrastructure
"ESMP for 100kw Solar Photovoltaic Mini Grid at Farun/Daba community, Kazaure",Renewable Energy
Gold Exploration in Atakumosa West LGA (EL 22376),Mining
"Egg Processing Factory at Emure-Ile, Owo LGA",Manufacturing
"Construction of road network, drain network, sewage reticulation and water reticulation networks at Ogbum-Nu-Abali, rehabilitation and dualization of Eastern by-pass road and reconstruction and dualization of flyover bridge at Oro-Abali (Kaduna street) intersection of the Aba road flyover bridge in Port Harcourt city LGA",Infrastructure
"Copper Gold Processing in Wanu village, Anka LGA",Manufacturing
"Akubo field in OML 143, Ndokwa East",Oil & Gas
Crude Processing and Onshore Tank Farm at Nembe,Oil & Gas
Pipelines from Nembe (OML29) through Brass to Offshore at Nembe & Brass LGA,Oil & Gas
Floating Storage and Offloading (FSO) with calm BUOY in Nembe anmd Brass LGAs,Oil & Gas
"Rice Mill Plant at Ngwalang, Numan LGA",Agriculture
"Ogbu Field in OML 143, Ogbaru East",Oil & Gas
"Ossah Field in OML 143, Ndokwa East",Oil & Gas
"LPG Refilling Plant , Ore Industrial Park, Odigbo LGA",Oil & Gas
"Atlantic Refinery , Brass LGA",Oil & Gas
"Solar Hybrid Mini-Grid Power in Makami Community, Kauru LGA",Renewable Energy
ESMP for ACOB Solar Hybrid Mini-Grid Power,Renewable Energy
"ESMP for Solar Hybrid Mini-Grid Project in Obadore Community, Odigbo LGA",Renewable Energy
Gold Ore Exploration and Mining at Bwari LGA,Mining
"Apapa Container Terminal Quay Upgrade, Apapa LGA",Infrastructure
"Masarki Quarry (30911 QL), Karu LGA",Mining
Gold Mining in Ibukun LGA (26912EL),Mining
"Kwale Gas Gathering and Processing at Kwale, Ndokwa West LGA",Oil & Gas
ESMP for Development of Solar Mini Grid (63 Sites),Renewable Energy
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Twelve 12 Sites) in Akwa-Ibom State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Two 2 Sites) in Bayelsa State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Five 5 Sites) in Cross River State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Eight 8 Sites) in Delta State (2020),Infrastructure
IHS Phase III Base Transceiver Stations (BTS) in 30 States and the FCT (229 Sites),Telecommunications
Installation of 14 TPH Agro Fuel Boiler,Manufacturing
"Gypsum, Limestone and Iron Ore Exploration (EL 26746), Shagari LGA",Mining
Special Economic Zone,Manufacturing
Construction of the Southern Parkway (58/59) from Christian Centre to Ring Road (RR1) at FCT,Infrastructure
"Granite Mining (QLS 3864), at Ardo-Kola LGA",Mining
"Integrated Waste Management Facility in Mkpanak Community, Ibeno LGA",Waste Management
"Mining/Exploration of Gold and Manganese (EL 31135), Mashegu LGA",Mining
"Gold Mining  (EL 30817), Ibokun LGA",Mining
"Completion of Roads B6, B12 & Circle Road at Abuja Central Area",Infrastructure
"Tourmaline and Gold Exploration (EL 24935), Moro LGA",Mining
Multichoice Nigeria Six (6) TV Base Station,Infrastructure
"Gold Mineral Mining/Exploration (EL 29259) within Gidan Yellow Village, Shiroro LGA",Mining
"Quarry facility at Lagbahe Camp, Ondo East LGA",Mining
"84MW Gas Power Plant in Kaduna, Igabi LGA",Power
Sand Dredging and Mining (SSML 21887) at Igabi LGA,Mining
"Port Harcourt Event Plaza Development, Port Harcourt ",Infrastructure
"Composite Dam Project at Okpella Community, Etsako East LGA",Infrastructure
"Oil Palm Plantation/Miling Crude Palm at Etsako Central LGA, Odame-Ekperi",Agriculture
250KM Barging Route from Aseomuku Jetty to Agge,Oil & Gas
Integrated Cassava Processing Project in Abeokuta North LGA,Agriculture
Gold Mining (26474 EL) at Atakumosa West LGA,Mining
"Engie Fenix Nigeria Solar Mini-Grid Power at Gbako, Edati, Mashegu and Lapai LGAs",Renewable Energy
"Construction of a Ship Building and Maintenance Yard in Okpai, Ndokwa East LGA",Infrastructure
Badagry Greenfield Port and Free Zone in Badagry,Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Three 3 Sites) in Edo State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (One 1 Site) in Imo State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (Five 5 Sites) in Ondo State (2020),Infrastructure
Thirty-Seven (37) Infrastructural Projects of Ministry of Niger Delta Affairs (One 1 Site) in Rivers State (2020),Infrastructure
RISK ASSESSMENT AND MONITORING OF AQUATIC ECOSYSTEM STATUS,Others
Exploration & Mining For Exploration License 20609,Mining
Oil Palm Plantation Development Project,Agriculture
"15,600Ton Per Anum Cassava Starch Manufacturing Plant at Owa Aleru, Ika North East LGA",Agriculture
NEWMAP Projects in Gombe State,Infrastructure
NEWMAP Projects in Kano,Infrastructure
"5000 Barrel Per Day (BPD) Refinery at Atuwatse II road, Koko in Warri North LGA",Oil & Gas
"Construction of 2.5MW Solar PV and Grid Extension, Chikun, Igabi and Kaduna LGAs",Power
"2.1MW Captive Power Plant at Josepdam Port Terminal, TinCan Island, Apapa",Power
Deployment of Seventeen(17) Base Transceiver Stations(BTS) in the North-East Geopolitical Zone ,Telecommunications
"Agricultural Product Processing Plant at Dan Zaki, Gezawa LGA",Agriculture
Construction of Mini Solar Grid Systems,Renewable Energy
Development of Telecommunication Base Station Sites (Rural Telephony Project) 74 BTS in 4 States.,Telecommunications
Solar Mini Grid in 7 communities in Kaduna State (Ikara Light-up Project),Renewable Energy
Integrated Biotech Pack for Pharmaceutical Vaccine Manufacturing,Manufacturing
400 MT per day Kiara Rice Mills in Mokwa LGA,Manufacturing
Port Intervention  Services and Logistics Solutions at Iddo,Infrastructure
Quarrying of Granite Rock Deposit (QLS 20007) in Akamkpa LGA,Mining
 Alternative Fuel for Cement Production at Obajana,Power
Alternative Fuel for Kiln Firing in Ibese,Power
Airtel Base Transceiver Stations (BTS) in Four (4) States (24 Sites),Telecommunications
Lead/Zinc Mining (EL 31749) in Wamba LGA,Mining
Lead and Zinc Mining  in Logo/Wukari LGAs,Mining
Open Cast Iron Ore Mine (EL 26962) in Kagarko LGA,Mining
Environmental Sensitivity Index (ESI) Map and Marine Protected Areas (MPAs),Others
Granite Quarry Project in Obafemi/Owode LGA,Mining
Compressed Natural Gas (CNG) Decompression Station,Oil & Gas
Combined Cycle Gas Turbine (Gas Turbine with heat recovery Steam Generation System),Infrastructure
De-Bottle-Necking (DBN) of Olefins and Polyethylene Plants,Manufacturing
Compressed Natural Gas (CNG) Facility,Oil & Gas
"Idi-Ishin 3000KW Hydroelectric Power Station at Ona River, Ibadan, Oyo State",Power
"Copper, Tin and Wolframite Mine (21935EL) at Kaiama LGA",Mining
"Gold, Silver, Lead, Zinc, Copper and Manganese Mine (27212EL) at Anka LGA",Mining
Barge Jetty at Apapa Port,Infrastructure
"Kalaekule to Amenam-Kpono Gas Pipeline at Kalaekule Field, OML 72, Offshore Bonny",Oil & Gas
20000MT LPG Bulk Terminal at Ijora-Apapa,Oil & Gas
"3 X 17,815CBM PMS Tank Farm at Ijora, Apapa LGA",Oil & Gas
"Shore Protection and Rehabilitation of Escravos Breakwaters at Ogidigben, Warri South LGA",Infrastructure
Installation of a Nitro Hot Fill Pet Production Line,Manufacturing
"Mining of Limestone, Coal, Shale and Clay (EL 25300) in Guyuk LGA",Mining
Exploration and Mining of Gold in Anka LGA (EL 24967),Mining
Gold Ore Exploration and Mining at Obokun LGA,Mining
Gold Ore Exploration and Mining (EL 27254) at Gurara LGA,Mining
Granite Quarrying (QL 22284) at Umu-Nneochi LGA,Mining
Gold Ore Exploration and Mining (EL 27177) at Moro LGA,Mining
Sand Dredging and Mining (SSML 21968) at Chikun LGA,Mining
Gemstone Ore Exploration and Mining at Karu LGA,Mining
Cassava Ethanol Plant at Makurdi LGA,Manufacturing
Limestone Mining (EL 26041) in Gboko LGA,Mining
"Construction of flyover bridge at Waterline Junction, Construction of flyover bridge at Ikoku Road Junction and Dualization/ Extension of Eastern Bypass Road to Ogbunabali Roundabout, Ogbunabali Road from Nzimiro Roundabout to Rebisi Flyover Bridge in Obio/Akpor and Port Harcourt LGAs",Infrastructure
"Esslibra Barge Terminal , Ibeshe Road, Ikorodu LGA",Infrastructure
Compressed Natural Gas (CNG) Infrastructure Support for Bus Transport Services,Oil & Gas
Gold Mining (27501EL) at Bukuyum LGA ,Mining
Gold Mining ( 27502EL) at Kankara LGA,Mining
Gold Mining (27503EL) at Kankara LGA,Mining
Gold Mining ( 27500EL) in Bukuyum LGA,Mining
Gold Mining ( 27496EL) at Muya LGA,Mining
Gold Mining ( 27497EL) at Shiroro LGA,Mining
Gold Mining ( 27498EL) at Shiroro LGA,Mining
Gold Mining (27499EL) at Bukuyum LGA,Mining
"Mechanized Cassava Farm at Iyamitate, Obubra LGA",Agriculture
Agro-Industrial Processing Complex and Research and Development Laboratories at Ikom LGA,Agriculture
"Arla Dairy Farm, Damau Area",Agriculture
"LPG COMPOSITE CYLINDERS MANUFACTURING PLANT AT ALARO-CITY, IBEJU LEKKI LGA",Manufacturing
"Granite Stone Quarry and Tiles Production at Ofosu, Idanre LGA",Mining
"Boatyard/Repairs Facility at Olatunji Street, Ilaje, Bariga LGA",Infrastructure
Abura Developmental Field Project in OML 65 in Western Niger Delta area,Oil & Gas
"Hydropolis International Airport, Amfani Village, Magama LGA",Infrastructure
"200MW/HR Solar Farm in Ashama Community, Aniocha South LGA",Renewable Energy
"Rice Processing Plant at Odosibadewa-Ilado, Odogbolu LGA",Manufacturing
"Oil Palm Plantation Development Project at Urhonigbe forest reserve, Orhionmwon LGA",Agriculture
"Oil Palm Plantation Development Project, Ondo State Reserve, Owo & Ose LGA",Agriculture
"Construction of Heliport at Dakkada Towers, Uyo",Infrastructure
"Methanol and Ammonia Plant in Qua Iboe Export Hub (QIEH), Ibeno Town, Ibeno LGA",Manufacturing
"Tank Farm Project at Okpoama, Brass LGA",Oil & Gas
Iron Ore Exploration (26687EL) at Lokoja LGA,Mining
Iron Ore Exploration (26645EL) at Lokoja LGA,Mining
"ESMP for Solar Mini-Grids at Lavun, Magama, Mashegu and Mokwa LGAs",Renewable Energy
"ESMP for Solar Mini-Grids at Omala, Dekina, Igalamela and Ofu LGAs",Renewable Energy
Mining and Processing of Feldspar (19470 QLS) in Adavi LGA,Mining
Mining and Processing of Feldspar (19471 QLS) in Adavi LGA,Mining
Mining and Processing of Feldspar (19472 QLS) in Adavi LGA,Mining
"Rice Mill Cottage Industry at Eddah Village, Shiroro LGA",Manufacturing
"Shale, Clay, Coal and Iron Ore Exploration (21672EL) at Obi LGA",Mining
Gold Mining Exploration (33571EL) at Shiroro LGA,Mining
New Bonny River Dredged Material Disposal Site at the Bonny River/Estuary,Infrastructure
Kaolin and Clay (28474EL) Exploration at Ankpa LGA,Mining
"Public Disclosure for ESSA ,SEP, LMP and ESCP",Infrastructure
Granite Quarrying (23085 QL) at Chikun LGA,Mining
Sand Dredging and Quarrying (23530 SSML) at Madobi LGA,Mining
Exploration of Gold (25173 EL)  at Shiroro LGA,Mining
State of the Environment,Others
"Lagos Creative and Entertainment Centre Project at Iganmu, Surulere LGA",Infrastructure
